mixin          sizeX              1/sizeX
----------------------------------------------------
greenarea      1                  1
publicbuilding 1.1999999731779099 0.8333333519597852
street         0.6599999852478504 1.5151515490177914
street2        0.47999998927116394 2.083333379899463
store2         0.5999999865889549 1.6666667039195704
store          1.1999999731779099 0.8333333519597852
parkingarea    0.2699999939650297 3.7037037864879343
privatebuilding Infinity 0
privatebuilding2 Infinity 0
footpath       0.47999998927116394 2.083333379899463
bench          0.09000000078231096 11.111111014529511
tree           0.7499999832361937  1.333333363135656
